src_ip,dst_ip,src_port,dst_port,proto,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sinpkt,dinpkt,smean,dmean,total_packets,total_bytes,total_load
175.45.176.3,149.171.126.14,62899,179,tcp,0.41695189476013184,10,6,694,364,38.3737313610354,13315.684782279282,6984.019107708442,0.045088768005371094,0.06448121070861816,69.4,60.666666666666664,16,1058,2537.4629862484653
175.45.176.3,149.171.126.14,44449,179,tcp,0.5767550468444824,10,8,694,482,31.209089714049025,9626.270338466677,6685.68055207628,0.06408389409383138,0.07227158546447754,69.4,60.25,18,1176,2038.9938613178697
175.45.176.2,149.171.126.17,5068,111,tcp,0.9962210655212402,10,8,724,482,18.068278841887455,5813.970614011785,3870.6268452398904,0.11069122950236003,0.13147997856140137,72.4,60.25,18,1206,1210.5746824064595
175.45.176.2,149.171.126.19,61809,161,udp,1.9073486328125e-06,2,0,170,0,1048576.0,713031680.0,0.0,1.9073486328125e-06,0,85.0,0,2,170,89128960.0
175.45.176.3,149.171.126.14,44444,179,tcp,0.3878519535064697,10,6,694,364,41.252853970047376,14314.74032760644,7508.019422548622,0.03811966048346625,0.06827917098999023,69.4,60.666666666666664,16,1058,2727.844968769383
175.45.176.1,149.171.126.18,4657,80,tcp,0.3935561180114746,10,8,1020,1224,45.73680645837448,20734.01892779643,24880.822713355716,0.04372845755683051,0.04766913822719029,102.0,153.0,18,2244,5701.855205144018
175.45.176.3,149.171.126.14,40414,179,tcp,0.7282519340515137,10,6,694,364,21.97041882331372,7623.735331689862,3998.6162258430977,0.0809168815612793,0.12246222496032715,69.4,60.666666666666664,16,1058,1452.79394469162
175.45.176.3,149.171.126.14,62893,179,tcp,0.233720064163208,10,6,694,364,68.4579651185921,23754.913896151458,12459.349651583761,0.02596889601813422,0.040812015533447266,69.4,60.666666666666664,16,1058,4526.782943466902
175.45.176.3,149.171.126.11,1025,21,tcp,0.964655876159668,14,12,914,1142,26.95261661962502,7579.905104719159,9470.734824495928,0.07420429816612831,0.05970070578835227,65.28571428571429,95.16666666666667,26,2056,2131.329991151886
175.45.176.3,149.171.126.14,62969,179,tcp,0.5378401279449463,10,8,694,482,33.46719418050282,10322.770116119536,7169.416708889938,0.059669441646999784,0.0683518818446568,69.4,60.25,18,1176,2186.5233531261842
175.45.176.3,149.171.126.18,32473,80,tcp,0.33801722526550293,10,6,1158,364,47.33486581174215,27406.887304998705,8614.945577737071,0.035218132866753474,0.0565798282623291,115.8,60.666666666666664,16,1522,4502.729110341972
175.45.176.3,149.171.126.14,65534,179,tcp,0.9210250377655029,10,6,694,364,17.371949017604962,6028.066309108921,3161.6947212041027,0.0989225705464681,0.17007017135620117,69.4,60.666666666666664,16,1058,1148.720128789128
175.45.176.3,149.171.126.14,62942,179,tcp,0.6009819507598877,10,8,694,482,29.950982682991754,9238.214214220568,6416.166068089789,0.0653445455763075,0.07863415990556989,69.4,60.25,18,1176,1956.7975352887947
175.45.176.2,149.171.126.16,58820,5682,tcp,0.4497029781341553,10,6,898,364,35.5790394504056,15974.988713232116,6475.38517997382,0.04261122809516059,0.06766600608825683,89.8,60.666666666666664,16,1262,2806.2967366507423
175.45.176.3,149.171.126.14,63313,179,tcp,0.5689451694488525,10,6,694,364,28.12221785009527,9758.409593983059,5118.243648717339,0.059910562303331166,0.09275522232055664,69.4,60.666666666666664,16,1058,1859.5816553375498
175.45.176.2,149.171.126.19,59386,8020,tcp,0.4976358413696289,10,6,2234,364,32.152024974655475,35913.81189669017,5851.668545387297,0.04954409599304199,0.08306961059570313,223.4,60.666666666666664,16,2598,5220.685055259683
175.45.176.0,149.171.126.14,21873,80,tcp,0.5464251041412354,10,8,1328,1168,32.94138549561865,19442.737750302917,17100.239226170037,0.06071390046013726,0.07165758950369698,132.8,146.0,18,2496,4567.87212205912
175.45.176.0,149.171.126.17,49194,80,tcp,0.7259960174560547,10,16,982,12476,35.81286863129908,10820.995998749446,137477.33816741148,0.08066622416178386,0.04360780715942383,98.2,779.75,26,13458,18537.291770770116
175.45.176.0,149.171.126.10,15816,5060,udp,1.1920928955078125e-05,2,0,1446,0,167772.16,970394173.44,0.0,1.1920928955078125e-05,0,723.0,0,2,1446,121299271.68
175.45.176.2,149.171.126.14,2085,631,tcp,0.27460503578186035,10,6,1388,364,58.265501047511805,40436.25772697319,10604.321190647148,0.027216328514946833,0.044842195510864255,138.8,60.666666666666664,16,1752,6380.0723647025425
175.45.176.1,149.171.126.14,51435,80,tcp,0.33745598793029785,10,8,960,2388,53.34028923415617,22758.5234065733,56611.82697385108,0.03749510977003309,0.04127001762390137,96.0,298.5,18,3348,9921.293797553048
175.45.176.2,149.171.126.12,33692,111,udp,2.5033950805664062e-05,2,0,200,0,79891.50476190477,63913203.809523806,0.0,2.5033950805664062e-05,0,100.0,0,2,200,7989150.476190476
175.45.176.1,149.171.126.19,64694,80,tcp,0.29665613174438477,10,6,1148,364,53.93449953627279,30958.40273382058,9816.078915601647,0.0295004579755995,0.05355162620544433,114.8,60.666666666666664,16,1512,5096.810206177779
175.45.176.0,149.171.126.10,16726,80,tcp,0.6474990844726562,14,12,2002,3160,40.154496930563575,24735.17010922716,39042.526246332585,0.04980762188251202,0.05224709077314897,143.0,263.3333333333333,26,5162,7972.212044444968
175.45.176.0,149.171.126.10,8465,111,udp,1.5020370483398438e-05,2,0,200,0,133152.50793650793,106522006.34920634,0.0,1.5020370483398438e-05,0,100.0,0,2,200,13315250.793650793
175.45.176.3,149.171.126.16,16086,111,tcp,0.7836811542510986,10,8,724,482,22.968524765918556,7390.760858011127,4920.36841652122,0.08466355005900066,0.10673114231654576,72.4,60.25,18,1206,1538.8911593165433
175.45.176.2,149.171.126.12,52231,8983,tcp,0.3545529842376709,10,6,1176,364,45.12724673408634,26534.82107964277,8213.158905603714,0.039394776026407875,0.052857160568237305,117.6,60.666666666666664,16,1540,4343.497498155811
175.45.176.3,149.171.126.12,49528,80,tcp,0.2888340950012207,10,6,914,364,55.39512224113424,25315.570864198347,10081.912247886432,0.029468006557888456,0.050609779357910153,91.4,60.666666666666664,16,1278,4424.685389010597
175.45.176.2,149.171.126.10,46430,9111,tcp,0.318126916885376,10,6,3200,364,50.29439242880836,80471.02788609338,9153.579422043122,0.029626766840616863,0.05938539505004883,320.0,60.666666666666664,16,3564,11203.075913517063
175.45.176.0,149.171.126.14,4893,80,tcp,0.5953729152679443,10,10,1002,1614,33.59239140228458,13463.83047403566,21687.247889314927,0.0661525461408827,0.0623224311404758,100.2,161.4,20,2616,4393.884795418823
175.45.176.2,149.171.126.14,50028,80,tcp,0.3408019542694092,10,8,964,2842,52.816598539134915,22628.978218544915,66713.2324658762,0.03786688380771213,0.045630999973842075,96.4,355.25,18,3806,11167.776335552637
175.45.176.0,149.171.126.13,26782,111,udp,8.106231689453125e-06,2,0,200,0,246723.76470588235,197379011.7647059,0.0,8.106231689453125e-06,0,100.0,0,2,200,24672376.470588237
175.45.176.2,149.171.126.14,10975,80,tcp,0.5941948890686035,10,10,952,3246,33.65899028742887,12817.343501452913,43702.83298919765,0.06602165434095594,0.05836100048489041,95.2,324.6,20,4198,7065.0220613313195
175.45.176.3,149.171.126.14,11980,80,tcp,0.9588768482208252,24,58,3074,72106,85.5167169299678,25646.671984655706,601587.1600929032,0.04169029774873153,0.015751717383401434,128.08333333333334,1243.2068965517242,82,75180,78404.22900969486
175.45.176.0,149.171.126.18,7302,80,tcp,0.536452054977417,10,8,1110,482,33.55379074977678,16553.203436556545,7187.967618396626,0.05960578388637967,0.06978212084089007,111.0,60.25,18,1592,2967.6463818691464
175.45.176.0,149.171.126.11,60731,111,tcp,0.7046639919281006,10,8,724,482,25.54408939038935,8219.520319396395,5472.111593852296,0.07623412874009874,0.0982318605695452,72.4,60.25,18,1206,1711.4539891560864
175.45.176.3,149.171.126.11,35333,80,tcp,0.4010047912597656,12,12,1474,5286,59.84965896443146,29406.132437857326,105455.09909532825,0.03645498102361506,0.032988916743885384,122.83333333333333,440.5,24,6760,16857.653941648197
175.45.176.0,149.171.126.17,60595,25,tcp,1.0670390129089355,28,20,15432,2168,44.98429712437934,115699.61220390367,16254.326027609068,0.039519963441071684,0.052918271014564915,551.1428571428571,108.4,48,17600,16494.24227893909
175.45.176.1,149.171.126.17,25119,111,udp,1.0013580322265625e-05,2,0,200,0,199728.7619047619,159783009.52380952,0.0,1.0013580322265625e-05,0,100.0,0,2,200,19972876.19047619
175.45.176.2,149.171.126.16,6621,139,tcp,1.6735069751739502,28,28,4608,3908,33.46266303681176,22027.9930390898,18681.72673540862,0.06198173982125742,0.060982739483868634,164.57142857142858,139.57142857142858,56,8516,5088.714971812303
175.45.176.2,149.171.126.19,36063,111,tcp,1.4743058681488037,10,8,724,482,12.209135423574963,3928.6284651858996,2615.468121850281,0.16381176312764487,0.204937287739345,72.4,60.25,18,1206,818.0120733795226
175.45.176.3,149.171.126.12,12254,111,tcp,0.6944878101348877,10,8,724,482,25.91838148534807,8339.959197952001,5552.293278194565,0.07716531223720974,0.09694756780351911,72.4,60.25,18,1206,1736.5315595183208
175.45.176.2,149.171.126.13,47036,445,tcp,1.3578789234161377,30,24,11374,3638,39.76790497944203,67010.39277572943,21433.427898549642,0.04682341115228061,0.0576543082361636,379.1333333333333,151.58333333333334,54,15012,11055.477584284883
175.45.176.2,149.171.126.19,13304,80,tcp,0.3045828342437744,10,8,1002,2604,59.09722405955947,26317.963781190483,68395.18731159683,0.033842537138197154,0.04100029809134347,100.2,325.5,18,3606,11839.143886598415
175.45.176.0,149.171.126.12,53422,111,udp,1.0967254638671875e-05,2,0,200,0,182361.04347826086,145888834.7826087,0.0,1.0967254638671875e-05,0,100.0,0,2,200,18236104.347826086
175.45.176.3,149.171.126.10,11441,80,tcp,0.28907012939453125,12,8,3962,1456,69.18736308691177,109648.13302013777,40294.72026181741,0.026279102672230114,0.03947642871311733,330.1666666666667,182.0,20,5418,18742.856660244397
175.45.176.1,149.171.126.11,21960,111,tcp,0.6798710823059082,10,8,724,482,26.47560760923921,8519.262181817418,5671.663496734799,0.07554123136732313,0.09436672074454171,72.4,60.25,18,1206,1773.865709819027
175.45.176.2,149.171.126.17,15047,111,tcp,0.7074680328369141,10,8,724,482,25.44284570402543,8186.942350984183,5450.422946373447,0.07860755920410156,0.09972701753888812,72.4,60.25,18,1206,1704.6706621697037
175.45.176.0,149.171.126.16,18446,80,tcp,0.44809699058532715,10,8,1102,482,40.16987477752859,19674.31200214956,8605.27984123057,0.0497885545094808,0.06207057407924107,110.2,60.25,18,1584,3534.948980422516
175.45.176.2,149.171.126.14,49313,80,tcp,0.2918589115142822,10,10,1020,4930,68.52626118637906,27958.714564042657,135133.78705953952,0.03242876794603136,0.030018674002753362,102.0,493.0,20,5950,20386.562702947773
175.45.176.1,149.171.126.18,59236,111,tcp,3.93448805809021,10,8,724,482,4.5749281060817735,1472.1101994680907,980.05126539174,0.4371653397878011,0.5598959922790527,72.4,60.25,18,1206,306.52018310747883
175.45.176.3,149.171.126.12,21226,143,tcp,0.30703091621398926,10,8,698,580,58.62601793317342,18187.09356326891,15112.484622773592,0.0317631032731798,0.041102000645228794,69.8,72.5,18,1278,4162.447273255313
175.45.176.3,149.171.126.19,17849,80,tcp,0.5199828147888184,12,24,1058,23280,69.23305727828861,16277.461022317633,358165.6829863464,0.047271164980801667,0.02069221372189729,88.16666666666667,970.0,36,24338,46805.39300108301
175.45.176.0,149.171.126.15,18519,111,udp,2.384185791015625e-05,2,0,200,0,83886.08,67108864.0,0.0,2.384185791015625e-05,0,100.0,0,2,200,8388608.0
175.45.176.3,149.171.126.14,37482,514,udp,1.0013580322265625e-05,2,0,470,0,199728.7619047619,375490072.38095236,0.0,1.0013580322265625e-05,0,235.0,0,2,470,46936259.047619045
175.45.176.3,149.171.126.14,2645,514,udp,1.0967254638671875e-05,2,0,970,0,182361.04347826086,707560848.6956521,0.0,1.0967254638671875e-05,0,485.0,0,2,970,88445106.08695652
175.45.176.3,149.171.126.14,1603,514,udp,1.1205673217773438e-05,2,0,1292,0,178481.02127659574,922389917.9574468,0.0,1.1205673217773438e-05,0,646.0,0,2,1292,115298739.74468085
175.45.176.3,149.171.126.14,24186,514,udp,1.0013580322265625e-05,2,0,668,0,199728.7619047619,533675251.8095238,0.0,1.0013580322265625e-05,0,334.0,0,2,668,66709406.47619048
175.45.176.3,149.171.126.14,22785,514,udp,1.0967254638671875e-05,2,0,1490,0,182361.04347826086,1086871819.1304348,0.0,1.0967254638671875e-05,0,745.0,0,2,1490,135858977.39130434
175.45.176.3,149.171.126.14,37184,514,udp,1.1205673217773438e-05,2,0,1394,0,178481.02127659574,995210174.6382979,0.0,1.1205673217773438e-05,0,697.0,0,2,1394,124401271.82978724
175.45.176.3,149.171.126.14,1280,514,udp,1.0013580322265625e-05,2,0,1128,0,199728.7619047619,901176173.7142857,0.0,1.0013580322265625e-05,0,564.0,0,2,1128,112647021.71428572
175.45.176.3,149.171.126.14,63875,514,udp,9.059906005859375e-06,2,0,288,0,220752.84210526315,254307274.10526314,0.0,9.059906005859375e-06,0,144.0,0,2,288,31788409.263157893
175.45.176.3,149.171.126.14,23961,514,udp,9.059906005859375e-06,2,0,376,0,220752.84210526315,332012274.5263158,0.0,9.059906005859375e-06,0,188.0,0,2,376,41501534.315789476
175.45.176.3,149.171.126.14,37367,514,udp,9.059906005859375e-06,2,0,238,0,220752.84210526315,210156705.68421054,0.0,9.059906005859375e-06,0,119.0,0,2,238,26269588.210526317
175.45.176.3,149.171.126.14,2543,514,udp,7.867813110351562e-06,2,0,1816,0,254200.24242424243,1846510560.969697,0.0,7.867813110351562e-06,0,908.0,0,2,1816,230813820.12121212
175.45.176.3,149.171.126.14,1074,514,udp,1.0967254638671875e-05,2,0,1580,0,182361.04347826086,1152521794.7826087,0.0,1.0967254638671875e-05,0,790.0,0,2,1580,144065224.3478261
175.45.176.3,149.171.126.14,1381,514,udp,10.675253868103027,4,0,642,0,0.37469834904364596,481.11268017204145,0.0,3.5584179560343423,0,160.5,0,4,642,60.13908502150518
175.45.176.2,149.171.126.17,58472,25,tcp,0.9893410205841064,36,22,25411,2124,58.624881404145995,205478.18777389708,17175.06870378015,0.02826688630240304,0.04633789970761254,705.8611111111111,96.54545454545455,58,27535,27831.657059709654
175.45.176.3,149.171.126.14,65367,514,udp,1.0967254638671875e-05,2,0,786,0,182361.04347826086,573343120.6956521,0.0,1.0967254638671875e-05,0,393.0,0,2,786,71667890.08695652
175.45.176.3,149.171.126.14,42168,514,udp,1.0967254638671875e-05,2,0,1772,0,182361.04347826086,1292575076.173913,0.0,1.0967254638671875e-05,0,886.0,0,2,1772,161571884.52173913
175.45.176.3,149.171.126.14,29128,514,udp,1.0967254638671875e-05,2,0,1002,0,182361.04347826086,730903062.2608696,0.0,1.0967254638671875e-05,0,501.0,0,2,1002,91362882.7826087
175.45.176.3,149.171.126.14,24126,514,udp,9.059906005859375e-06,2,0,264,0,220752.84210526315,233115001.2631579,0.0,9.059906005859375e-06,0,132.0,0,2,264,29139375.157894738
175.45.176.3,149.171.126.14,22880,514,udp,1.0013580322265625e-05,2,0,958,0,199728.7619047619,765360615.6190476,0.0,1.0013580322265625e-05,0,479.0,0,2,958,95670076.95238096
175.45.176.3,149.171.126.14,37315,514,udp,1.0967254638671875e-05,2,0,1018,0,182361.04347826086,742574169.0434783,0.0,1.0967254638671875e-05,0,509.0,0,2,1018,92821771.13043478
175.45.176.3,149.171.126.14,2612,514,udp,9.059906005859375e-06,2,0,384,0,220752.84210526315,339076365.4736842,0.0,9.059906005859375e-06,0,192.0,0,2,384,42384545.684210524
175.45.176.3,149.171.126.14,1607,514,udp,1.0013580322265625e-05,2,0,1480,0,199728.7619047619,1182394270.4761906,0.0,1.0013580322265625e-05,0,740.0,0,2,1480,147799283.80952382
175.45.176.3,149.171.126.14,1032,514,udp,1.1920928955078125e-05,2,0,206,0,167772.16,138244259.84,0.0,1.1920928955078125e-05,0,103.0,0,2,206,17280532.48
175.45.176.3,149.171.126.14,37479,514,udp,1.4066696166992188e-05,2,0,2158,0,142179.7966101695,1227296004.338983,0.0,1.4066696166992188e-05,0,1079.0,0,2,2158,153412000.54237288
175.45.176.3,149.171.126.14,4602,514,udp,1.1920928955078125e-05,2,0,1890,0,167772.16,1268357529.6,0.0,1.1920928955078125e-05,0,945.0,0,2,1890,158544691.2
175.45.176.3,149.171.126.14,1124,514,udp,1.0967254638671875e-05,2,0,1786,0,182361.04347826086,1302787294.6086957,0.0,1.0967254638671875e-05,0,893.0,0,2,1786,162848411.82608697
175.45.176.3,149.171.126.14,1325,514,udp,1.0967254638671875e-05,2,0,1232,0,182361.04347826086,898675222.2608696,0.0,1.0967254638671875e-05,0,616.0,0,2,1232,112334402.7826087
175.45.176.3,149.171.126.14,65401,514,udp,1.0013580322265625e-05,2,0,638,0,199728.7619047619,509707800.38095236,0.0,1.0013580322265625e-05,0,319.0,0,2,638,63713475.047619045
175.45.176.3,149.171.126.14,40240,514,udp,1.0013580322265625e-05,2,0,584,0,199728.7619047619,466566387.8095238,0.0,1.0013580322265625e-05,0,292.0,0,2,584,58320798.47619048
175.45.176.3,149.171.126.14,24872,514,udp,1.0967254638671875e-05,2,0,636,0,182361.04347826086,463926494.6086956,0.0,1.0967254638671875e-05,0,318.0,0,2,636,57990811.82608695
175.45.176.3,149.171.126.14,1556,514,udp,1.0013580322265625e-05,2,0,1236,0,199728.7619047619,987458998.8571428,0.0,1.0013580322265625e-05,0,618.0,0,2,1236,123432374.85714285
175.45.176.3,149.171.126.14,32357,514,udp,1.0013580322265625e-05,2,0,706,0,199728.7619047619,564034023.6190476,0.0,1.0013580322265625e-05,0,353.0,0,2,706,70504252.95238096
175.45.176.3,149.171.126.14,56650,514,udp,1.0967254638671875e-05,2,0,774,0,182361.04347826086,564589790.6086956,0.0,1.0967254638671875e-05,0,387.0,0,2,774,70573723.82608695
175.45.176.3,149.171.126.14,24127,514,udp,1.0013580322265625e-05,2,0,576,0,199728.7619047619,460175067.4285714,0.0,1.0013580322265625e-05,0,288.0,0,2,576,57521883.428571425
175.45.176.3,149.171.126.14,24063,514,udp,1.0967254638671875e-05,2,0,2184,0,182361.04347826086,1593106075.826087,0.0,1.0967254638671875e-05,0,1092.0,0,2,2184,199138259.47826087
175.45.176.2,149.171.126.13,13352,25,tcp,0.8958568572998047,20,20,3666,2252,44.649990312697604,32737.372897269885,20110.355636839,0.04715036091051603,0.043926314303749485,183.3,112.6,40,5918,6605.966066763611
175.45.176.3,149.171.126.14,22833,514,udp,8.821487426757812e-06,2,0,248,0,226719.13513513515,224905382.05405405,0.0,8.821487426757812e-06,0,124.0,0,2,248,28113172.756756756
175.45.176.3,149.171.126.14,23646,514,udp,1.0967254638671875e-05,2,0,1522,0,182361.04347826086,1110214032.6956522,0.0,1.0967254638671875e-05,0,761.0,0,2,1522,138776754.08695653
175.45.176.3,149.171.126.14,2599,514,udp,1.1205673217773438e-05,2,0,1678,0,178481.02127659574,1197964614.8085105,0.0,1.1205673217773438e-05,0,839.0,0,2,1678,149745576.85106382
175.45.176.3,149.171.126.14,37308,514,udp,1.1205673217773438e-05,2,0,1720,0,178481.02127659574,1227949426.3829787,0.0,1.1205673217773438e-05,0,860.0,0,2,1720,153493678.29787233
175.45.176.3,149.171.126.14,37332,514,udp,1.0967254638671875e-05,2,0,2158,0,182361.04347826086,1574140527.3043478,0.0,1.0967254638671875e-05,0,1079.0,0,2,2158,196767565.91304347
175.45.176.3,149.171.126.14,1893,514,udp,1.0967254638671875e-05,2,0,1958,0,182361.04347826086,1428251692.5217392,0.0,1.0967254638671875e-05,0,979.0,0,2,1958,178531461.5652174
175.45.176.3,149.171.126.14,1042,514,udp,8.821487426757812e-06,2,0,322,0,226719.13513513515,292014246.0540541,0.0,8.821487426757812e-06,0,161.0,0,2,322,36501780.75675676
175.45.176.3,149.171.126.14,1028,514,udp,1.0013580322265625e-05,2,0,1052,0,199728.7619047619,840458630.0952381,0.0,1.0013580322265625e-05,0,526.0,0,2,1052,105057328.76190476
175.45.176.3,149.171.126.14,1606,514,udp,1.0013580322265625e-05,2,0,766,0,199728.7619047619,611968926.4761904,0.0,1.0013580322265625e-05,0,383.0,0,2,766,76496115.8095238
175.45.176.3,149.171.126.14,1099,514,udp,3.314018249511719e-05,2,0,1676,0,60349.69784172662,404584374.33093524,0.0,3.314018249511719e-05,0,838.0,0,2,1676,50573046.791366905
175.45.176.3,149.171.126.14,1287,514,udp,1.0013580322265625e-05,2,0,1172,0,199728.7619047619,936328435.8095238,0.0,1.0013580322265625e-05,0,586.0,0,2,1172,117041054.47619048
175.45.176.3,149.171.126.14,1364,514,udp,1.0013580322265625e-05,2,0,1454,0,199728.7619047619,1161622479.2380953,0.0,1.0013580322265625e-05,0,727.0,0,2,1454,145202809.9047619
175.45.176.3,149.171.126.14,37417,514,udp,1.0967254638671875e-05,2,0,1734,0,182361.04347826086,1264856197.5652175,0.0,1.0967254638671875e-05,0,867.0,0,2,1734,158107024.6956522
175.45.176.3,149.171.126.14,65399,514,udp,1.0967254638671875e-05,2,0,1914,0,182361.04347826086,1396156148.8695652,0.0,1.0967254638671875e-05,0,957.0,0,2,1914,174519518.60869566
175.45.176.3,149.171.126.14,3626,514,udp,1.0013580322265625e-05,2,0,1788,0,199728.7619047619,1428460105.142857,0.0,1.0013580322265625e-05,0,894.0,0,2,1788,178557513.14285713
175.45.176.3,149.171.126.14,1436,514,udp,1.0967254638671875e-05,2,0,1210,0,182361.04347826086,882627450.4347826,0.0,1.0967254638671875e-05,0,605.0,0,2,1210,110328431.30434783
175.45.176.3,149.171.126.14,40220,514,udp,1.0967254638671875e-05,2,0,974,0,182361.04347826086,710478625.3913044,0.0,1.0967254638671875e-05,0,487.0,0,2,974,88809828.17391305
175.45.176.3,149.171.126.14,30746,514,udp,9.059906005859375e-06,2,0,282,0,220752.84210526315,249009205.89473686,0.0,9.059906005859375e-06,0,141.0,0,2,282,31126150.736842107
175.45.176.3,149.171.126.14,53830,514,udp,1.0013580322265625e-05,2,0,1270,0,199728.7619047619,1014622110.4761904,0.0,1.0013580322265625e-05,0,635.0,0,2,1270,126827763.8095238
175.45.176.3,149.171.126.14,65474,514,udp,1.0013580322265625e-05,2,0,846,0,199728.7619047619,675882130.2857143,0.0,1.0013580322265625e-05,0,423.0,0,2,846,84485266.28571428
175.45.176.3,149.171.126.14,22809,514,udp,1.1920928955078125e-05,2,0,1094,0,167772.16,734170972.16,0.0,1.1920928955078125e-05,0,547.0,0,2,1094,91771371.52
175.45.176.3,149.171.126.11,15605,80,tcp,0.34778594970703125,10,6,1174,364,46.00530876384776,27005.116244378634,8372.966195020292,0.03572943475511339,0.06456618309020996,117.4,60.666666666666664,16,1538,4422.2603049248655
175.45.176.3,149.171.126.14,24055,514,udp,1.0967254638671875e-05,2,0,1090,0,182361.04347826086,795094149.5652174,0.0,1.0967254638671875e-05,0,545.0,0,2,1090,99386768.69565217
175.45.176.3,149.171.126.14,37257,514,udp,1.0967254638671875e-05,2,0,650,0,182361.04347826086,474138713.04347825,0.0,1.0967254638671875e-05,0,325.0,0,2,650,59267339.13043478
175.45.176.3,149.171.126.11,48366,80,tcp,0.26079487800598145,10,6,1216,364,61.35089815541942,37301.34607849501,11165.863464286334,0.025938987731933594,0.04817299842834473,121.6,60.666666666666664,16,1580,6058.4011928476675
175.45.176.3,149.171.126.14,2545,514,udp,1.1205673217773438e-05,2,0,1970,0,178481.02127659574,1406430447.6595745,0.0,1.1205673217773438e-05,0,985.0,0,2,1970,175803805.9574468
175.45.176.3,149.171.126.14,24824,514,udp,1.1920928955078125e-05,2,0,1806,0,167772.16,1211986083.84,0.0,1.1920928955078125e-05,0,903.0,0,2,1806,151498260.48
175.45.176.3,149.171.126.14,37326,514,udp,1.1205673217773438e-05,2,0,1552,0,178481.02127659574,1108010180.0851064,0.0,1.1205673217773438e-05,0,776.0,0,2,1552,138501272.5106383
175.45.176.3,149.171.126.14,37480,514,udp,1.0013580322265625e-05,2,0,1096,0,199728.7619047619,875610892.1904762,0.0,1.0013580322265625e-05,0,548.0,0,2,1096,109451361.52380952
175.45.176.3,149.171.126.14,1584,514,udp,1.0967254638671875e-05,2,0,2212,0,182361.04347826086,1613530512.6956522,0.0,1.0967254638671875e-05,0,1106.0,0,2,2212,201691314.08695653
175.45.176.3,149.171.126.14,1702,514,udp,1.0967254638671875e-05,2,0,2102,0,182361.04347826086,1533291653.5652175,0.0,1.0967254638671875e-05,0,1051.0,0,2,2102,191661456.6956522
175.45.176.0,149.171.126.13,38579,111,tcp,0.7347698211669922,10,8,724,482,24.497467753114364,7882.740734779912,5247.901980889388,0.07593554920620388,0.10251940999712263,72.4,60.25,18,1206,1641.3303394586624
175.45.176.3,149.171.126.14,2627,514,udp,1.0967254638671875e-05,2,0,756,0,182361.04347826086,551459795.4782609,0.0,1.0967254638671875e-05,0,378.0,0,2,756,68932474.43478261
